Title,Author,Tropes,Heat Level
Dropping the Ball,melanie jacobson,"reunion, holiday, academic",closed-door
Start With Me,kara isaac,"slow burn, opposites attract, christian, faith, lawyers",closed-door
Not A Thing,susan henshaw,"small town, fake dating, lawyer",closed-door
Betting on the Boy Next Door,melanie jacobson,"neighbors,",closed-door
Complete,kortney keisel,"friends to lovers, lawyers",closed-door
Hello Stranger,katherine center,"career-woman, medical, self-discovery, painter",closed-door
Happiness for Beginners,katherine center,"self-discovery, wilderness, brother's best friend",closed-door
The Rom-Commers,katherine center,"workplace, forced proximity, enemies to lovers",closed-door
What You Wish For,katherine center,"grief, teacher, uplifting",closed-door
Nora Goes Off Script,annabel monaghan,"celebrity, single mom,",fade to black
The Roommate Situation,katie bailey,"roommates, romantic comedy",closed-door
Complex,kortney keisel,"roommates, quirky, grumpy/sunshine",closed-door
My Stubborn Heart,becky wade,"grief healing, faith, christian",closed-door
Catch a Wave,savannah scott,"second chance, brother’s best friend",closed-door
Falling in Line,kasey stockton,"second chance, small town",closed-door
Merritt and Her Childhood Crush,jenny proctor,"childhood crush, sweet romance",closed-door
It's Always Sonny,kate watson,second chance,closed-door
Why Trey Let Me Get Away,kortney keisel,"college sweethearts, second chance",closed-door
nan,nan,nan,
nan,nan,nan,
nan,nan,nan,
The Love Haters,katherine center,self-love journey; slow burn; healing; workplace romance,
The Bodyguard,katherine center,bodyguard; fake dating; forced proximity; one-bed; slow burn,
nan,nan,nan,
nan,nan,nan,
The Chemistry of Love,sariah wilson,workplace romance; stem,
All’s Fair in Love and Blackmail,gracie ruth mitchell,brothers’ best friend; blackmail; slow burn,
Beauty and the Beach,gracie ruth mitchell,enemies-to-lovers; marriage-of-convenience; brother’s best friend; dual pov,
Once Upon a Boy Band,jenny proctor,"slowburn, closed door, music",closed-door
"Dear Henry, Love Edith",becca kinzer,"slowburn, closed door, christian",closed-door
West of Port,carina taylor,"slowburn, closed door, comedy, forced proximity",closed-door
Pickleballers,ilana long,"enemies to more, closed door, sport",closed-door
Never With You,kortney keisel,"enemies to more, closed door, workplace",closed-door
Powerless,lauren roberts,"enemies to more, closed door,fantasy",closed-door
nan,nan,nan,
Girl Meets Grump,hailey gardiner,"grumpy/sunshine, closed door,",closed-door
Off the Beaten Path,madison wright,"grumpy/sunshine, closed door, small town",closed-door
The One With the Kiss Cam,cindy steel,"forced proximity, closed door, workplace",closed-door
Not Boyfriend Material,becky monson,"forced proximity, closed door, medical",closed-door
The Perfect Putt,annah conwell,"forced proximity, closed door,golf,sport",closed-door
Playing the Field,grayson long,"friends to more, closed door,friends to lovers",closed-door
The Perfect Rom Com,melissa ferguson,"friends to more, closed door, script writers, workplace, foster rep",closed-door
The Magic of Light,jordan abitz,"friends to more, closed door, small town",closed-door
Same Time Next Summer,annabel monaghan,"second chance, closed door, summer",closed-door
The Blooms That Broke Us,ashley dill,"second chance, closed door, marriage of convenience, emotional",closed-door
Rock and a Hard Place,juliana smith,"second chance, closed door, broken marriage",closed-door
It's Always Us,stacy williams,"football, closed door, emotional, childhood friends to more, second chance",closed-door
Just Like Home,courtney walsh,"football, closed door",closed-door
Where You Belong,stacy williams,"football, closed door, single mom, singer",closed-door
Home Safe,tracy baeck,"baseball, closed door, foster rep",closed-door
Home Run Heart,hailey gardiner,"baseball, closed door, second chance",closed-door
The Light We Lost,marae good,"baseball, closed door, marriage of convenience, second chance, small town",closed-door
We Redeemed the Rain,ashley dill,"cowboy, closed door, emotional, second chance, childhood friends, small town",closed-door
Bring Me Home,ashley weston,"cowboy, closed door, second chance, small town",closed-door
Wildflower Falls,denise hunter,"cowboy, closed door, small town,",closed-door
nan,nan,nan,
What You Wish For,katherine center,"he takes care of her, closed door, workplace, teachers",closed-door
Secret or Shutout,leah brunner,"he takes care of her, closed door, hockey, brothers best friend",closed-door
If All Else Sails,emma st. clair,"brother's best friend, closed door, forced proximity",closed-door
All's Fair in Love and Blackmail,gracie ruth mitchell,"brother's best friend, closed door, comedy",closed-door
"Signed, Sealed, Delivered",juliana smith,"brother's best friend, closed door",closed-door
Summer Ever After,kortney keisel,"best friend's brother, closed door",closed-door
Best for Last,baleigh jayne,"best friend's brother, closed door",closed-door
For the Record,juliana smith,"best friend's brother, closed door",closed-door
The Buy-In,emma st. clair,"marriage of convenience, closed door",closed-door
I Got You,stacy williams,"marriage of convenience, closed door",closed-door
The Run Option,annah conwell,"marriage of convenience, closed door",closed-door
The Bodyguard,katherine center,"fake dating, closed door",closed-door
The Dating Game,heather miekstyn,"fake dating, closed door",closed-door
How Jenna Became My Dilemma,kortney keisel,"fake dating, closed door",closed-door
Everything's Coming Up Rosie,courtney walsh,"strangers to friends to more, closed door",closed-door
The Heart Shot,emily schneider,"strangers to friends to more, closed door",closed-door
Snowed Under,juliana smith,"strangers to friends to more, closed door",closed-door
